Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:58:45:319,F0:F8:F2:DA:2D:0D,11,1,14,-68
15:58:45:678,F0:F8:F2:DA:2D:0D,5,1,25,-66
15:58:46:490,F0:F8:F2:DA:2D:0D,2,1,36,-66
15:58:46:479,F0:F8:F2:DA:2D:0D,3,1,10,-72
15:58:46:894,F0:F8:F2:DA:2D:0D,5,1,21,-67
15:58:47:255,F0:F8:F2:DA:2D:0D,4,1,32,-66
15:58:47:679,F0:F8:F2:DA:2D:0D,1,1,6,-71
15:58:48:450,F0:F8:F2:DA:2D:0D,3,1,17,-67
15:58:48:461,F0:F8:F2:DA:2D:0D,3,1,28,-66
15:58:48:879,F0:F8:F2:DA:2D:0D,5,1,2,-69
15:58:49:250,F0:F8:F2:DA:2D:0D,4,1,13,-66
15:58:49:655,F0:F8:F2:DA:2D:0D,7,1,24,-66
15:58:50:800,F0:F8:F2:DA:2D:0D,6,1,35,-67
15:58:50:445,F0:F8:F2:DA:2D:0D,6,1,9,-71
15:58:50:863,F0:F8:F2:DA:2D:0D,5,1,20,-67
15:58:51:280,F0:F8:F2:DA:2D:0D,4,1,31,-66
15:58:51:648,F0:F8:F2:DA:2D:0D,3,1,5,-68
15:58:52:640,F0:F8:F2:DA:2D:0D,4,1,16,-67
15:58:52:449,F0:F8:F2:DA:2D:0D,5,1,27,-66
15:58:52:863,F0:F8:F2:DA:2D:0D,6,1,1,-68
15:58:53:279,F0:F8:F2:DA:2D:0D,3,1,12,-66
15:58:53:647,F0:F8:F2:DA:2D:0D,5,1,23,-66
15:58:54:630,F0:F8:F2:DA:2D:0D,3,1,34,-66
15:58:54:488,F0:F8:F2:DA:2D:0D,3,1,8,-68
15:58:54:864,F0:F8:F2:DA:2D:0D,5,1,19,-67
15:58:55:265,F0:F8:F2:DA:2D:0D,5,1,30,-67
15:58:55:680,F0:F8:F2:DA:2D:0D,5,1,4,-68
15:58:56:650,F0:F8:F2:DA:2D:0D,3,1,15,-67
15:58:56:464,F0:F8:F2:DA:2D:0D,4,1,26,-66
15:58:56:896,F0:F8:F2:DA:2D:0D,4,1,0,-68
15:58:57:264,F0:F8:F2:DA:2D:0D,4,1,11,-71
15:58:57:680,F0:F8:F2:DA:2D:0D,6,1,22,-68
15:58:58:670,F0:F8:F2:DA:2D:0D,4,1,33,-66
15:58:58:480,F0:F8:F2:DA:2D:0D,3,1,7,-68
15:58:58:849,F0:F8:F2:DA:2D:0D,4,1,18,-68
15:58:59:263,F0:F8:F2:DA:2D:0D,4,1,29,-67
15:58:59:680,F0:F8:F2:DA:2D:0D,5,1,3,-68
15:59:00:460,F0:F8:F2:DA:2D:0D,3,1,14,-68
15:59:00:467,F0:F8:F2:DA:2D:0D,5,1,25,-66
15:59:00:879,F0:F8:F2:DA:2D:0D,2,1,36,-67
15:59:01:245,F0:F8:F2:DA:2D:0D,4,1,10,-72
15:59:01:668,F0:F8:F2:DA:2D:0D,4,1,21,-67
15:59:02:490,F0:F8:F2:DA:2D:0D,4,1,32,-66
15:59:02:473,F0:F8:F2:DA:2D:0D,2,1,6,-69
15:59:02:888,F0:F8:F2:DA:2D:0D,4,1,17,-68
15:59:03:271,F0:F8:F2:DA:2D:0D,4,1,28,-66
15:59:03:700,F0:F8:F2:DA:2D:0D,4,1,2,-68
15:59:04:810,F0:F8:F2:DA:2D:0D,3,1,13,-67
15:59:04:480,F0:F8:F2:DA:2D:0D,6,1,24,-66
15:59:04:900,F0:F8:F2:DA:2D:0D,5,1,35,-67
15:59:05:271,F0:F8:F2:DA:2D:0D,4,1,9,-71
15:59:05:648,F0:F8:F2:DA:2D:0D,5,1,20,-67
15:59:06:102,F0:F8:F2:DA:2D:0D,4,1,31,-66
