Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
20:31:56:320,F0:F8:F2:DA:2D:0D,46,1,33,-59
20:31:56:958,F0:F8:F2:DA:2D:0D,50,1,2,-62
20:31:57:374,F0:F8:F2:DA:2D:0D,51,1,5,-63
20:31:58:126,F0:F8:F2:DA:2D:0D,52,1,28,-57
20:31:58:474,F0:F8:F2:DA:2D:0D,52,1,31,-58
20:31:58:904,F0:F8:F2:DA:2D:0D,54,1,34,-59
20:31:59:421,F0:F8:F2:DA:2D:0D,54,1,20,-57
20:31:59:896,F0:F8:F2:DA:2D:0D,54,1,23,-56
20:32:00:313,F0:F8:F2:DA:2D:0D,53,1,26,-56
20:32:00:879,F0:F8:F2:DA:2D:0D,53,1,12,-57
20:32:01:333,F0:F8:F2:DA:2D:0D,53,1,15,-58
20:32:01:957,F0:F8:F2:DA:2D:0D,54,1,1,-61
20:32:02:212,F0:F8:F2:DA:2D:0D,54,1,4,-62
20:32:02:608,F0:F8:F2:DA:2D:0D,54,1,7,-62
20:32:03:149,F0:F8:F2:DA:2D:0D,53,2,20,-57
20:32:03:601,F0:F8:F2:DA:2D:0D,45,1,13,-58
20:32:04:520,F0:F8:F2:DA:2D:0D,44,1,36,-59
20:32:04:597,F0:F8:F2:DA:2D:0D,44,1,22,-56
20:32:05:137,F0:F8:F2:DA:2D:0D,51,1,25,-56
20:32:05:515,F0:F8:F2:DA:2D:0D,51,1,28,-57
20:32:05:914,F0:F8:F2:DA:2D:0D,51,1,31,-57
20:32:06:455,F0:F8:F2:DA:2D:0D,51,1,17,-58
20:32:06:839,F0:F8:F2:DA:2D:0D,52,1,20,-57
20:32:07:233,F0:F8:F2:DA:2D:0D,53,1,23,-56
20:32:07:667,F0:F8:F2:DA:2D:0D,53,1,26,-56
20:32:08:113,F0:F8:F2:DA:2D:0D,52,1,29,-57
20:32:08:907,F0:F8:F2:DA:2D:0D,51,1,35,-59
20:32:09:439,F0:F8:F2:DA:2D:0D,52,1,21,-57
20:32:09:911,F0:F8:F2:DA:2D:0D,53,1,24,-56
20:32:10:316,F0:F8:F2:DA:2D:0D,52,1,27,-56
20:32:10:739,F0:F8:F2:DA:2D:0D,52,1,30,-58
20:32:11:114,F0:F8:F2:DA:2D:0D,51,1,33,-58
20:32:11:548,F0:F8:F2:DA:2D:0D,52,1,36,-59
20:32:11:994,F0:F8:F2:DA:2D:0D,53,1,22,-56
20:32:12:565,F0:F8:F2:DA:2D:0D,53,1,8,-63
20:32:13:100,F0:F8:F2:DA:2D:0D,53,1,11,-58
20:32:13:522,F0:F8:F2:DA:2D:0D,54,1,14,-58
20:32:13:976,F0:F8:F2:DA:2D:0D,54,1,0,-60
20:32:14:415,F0:F8:F2:DA:2D:0D,42,1,3,-62
20:32:14:828,F0:F8:F2:DA:2D:0D,42,1,6,-62
20:32:15:196,F0:F8:F2:DA:2D:0D,41,1,9,-63
20:32:15:814,F0:F8:F2:DA:2D:0D,52,1,32,-58
20:32:16:661,F0:F8:F2:DA:2D:0D,52,1,1,-62
20:32:17:390,F0:F8:F2:DA:2D:0D,52,1,4,-62
20:32:17:701,F0:F8:F2:DA:2D:0D,53,1,27,-56
20:32:18:289,F0:F8:F2:DA:2D:0D,53,1,13,-57
20:32:18:833,F0:F8:F2:DA:2D:0D,53,1,36,-59
20:32:19:401,F0:F8:F2:DA:2D:0D,53,2,12,-63
20:32:19:942,F0:F8:F2:DA:2D:0D,42,1,25,-62
20:32:20:555,F0:F8:F2:DA:2D:0D,42,1,11,-56
20:32:21:140,F0:F8:F2:DA:2D:0D,42,1,34,-59
20:32:21:496,F0:F8:F2:DA:2D:0D,53,1,0,-61
20:32:21:887,F0:F8:F2:DA:2D:0D,40,1,3,-62
20:32:22:230,F0:F8:F2:DA:2D:0D,41,1,6,-63
