Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
20:38:35:786,F0:F8:F2:DA:2D:0D,46,1,12,-56
20:38:36:197,F0:F8:F2:DA:2D:0D,69,1,23,-58
20:38:36:563,F0:F8:F2:DA:2D:0D,80,1,34,-59
20:38:37:182,F0:F8:F2:DA:2D:0D,89,1,32,-58
20:38:37:762,F0:F8:F2:DA:2D:0D,92,1,30,-58
20:38:38:382,F0:F8:F2:DA:2D:0D,87,1,28,-58
20:38:38:813,F0:F8:F2:DA:2D:0D,62,1,2,-61
20:38:39:182,F0:F8:F2:DA:2D:0D,45,1,13,-56
20:38:39:614,F0:F8:F2:DA:2D:0D,46,1,24,-58
20:38:39:969,F0:F8:F2:DA:2D:0D,45,1,35,-59
20:38:40:596,F0:F8:F2:DA:2D:0D,41,1,33,-58
20:38:41:166,F0:F8:F2:DA:2D:0D,43,1,31,-58
20:38:41:787,F0:F8:F2:DA:2D:0D,68,1,29,-58
20:38:42:222,F0:F8:F2:DA:2D:0D,65,1,3,-62
20:38:42:565,F0:F8:F2:DA:2D:0D,64,2,26,-65
20:38:42:979,F0:F8:F2:DA:2D:0D,40,1,25,-58
20:38:43:392,F0:F8:F2:DA:2D:0D,62,1,36,-59
20:38:43:962,F0:F8:F2:DA:2D:0D,60,1,34,-59
20:38:44:582,F0:F8:F2:DA:2D:0D,62,1,32,-58
20:38:45:220,F0:F8:F2:DA:2D:0D,65,1,30,-58
20:38:45:692,F0:F8:F2:DA:2D:0D,66,2,16,127
20:38:46:104,F0:F8:F2:DA:2D:0D,47,1,2,-61
20:38:46:514,F0:F8:F2:DA:2D:0D,45,1,13,-56
20:38:47:110,F0:F8:F2:DA:2D:0D,44,2,36,-66
20:38:47:531,F0:F8:F2:DA:2D:0D,67,2,10,-68
20:38:47:860,F0:F8:F2:DA:2D:0D,44,1,33,-59
20:38:48:314,F0:F8:F2:DA:2D:0D,44,1,7,-64
20:38:49:900,F0:F8:F2:DA:2D:0D,58,1,5,-63
20:38:49:495,F0:F8:F2:DA:2D:0D,83,1,3,-62
20:38:50:210,F0:F8:F2:DA:2D:0D,84,1,14,-56
20:38:50:481,F0:F8:F2:DA:2D:0D,87,1,25,-58
20:38:50:790,F0:F8:F2:DA:2D:0D,86,1,36,-59
20:38:51:417,F0:F8:F2:DA:2D:0D,66,1,34,-59
20:38:51:777,F0:F8:F2:DA:2D:0D,65,2,20,-62
20:38:52:183,F0:F8:F2:DA:2D:0D,38,2,31,-65
20:38:52:900,F0:F8:F2:DA:2D:0D,36,1,4,-62
20:38:53:272,F0:F8:F2:DA:2D:0D,38,1,15,-57
20:38:53:687,F0:F8:F2:DA:2D:0D,66,2,14,-73
20:38:54:108,F0:F8:F2:DA:2D:0D,59,1,0,-60
20:38:54:471,F0:F8:F2:DA:2D:0D,57,2,36,-66
20:38:54:883,F0:F8:F2:DA:2D:0D,38,1,22,-58
20:38:55:287,F0:F8:F2:DA:2D:0D,71,1,33,-59
20:38:55:919,F0:F8:F2:DA:2D:0D,74,1,31,-58
20:38:56:482,F0:F8:F2:DA:2D:0D,88,1,29,-58
20:38:56:897,F0:F8:F2:DA:2D:0D,83,1,3,-62
20:38:57:315,F0:F8:F2:DA:2D:0D,81,1,14,-56
20:38:57:698,F0:F8:F2:DA:2D:0D,85,1,25,-58
20:38:58:100,F0:F8:F2:DA:2D:0D,85,1,36,-59
20:38:58:466,F0:F8:F2:DA:2D:0D,57,1,10,-65
20:38:59:147,F0:F8:F2:DA:2D:0D,60,1,8,-64
20:38:59:721,F0:F8:F2:DA:2D:0D,64,1,6,-63
20:39:00:286,F0:F8:F2:DA:2D:0D,94,1,4,-62
20:39:00:821,F0:F8:F2:DA:2D:0D,92,1,15,-57
20:39:01:414,F0:F8:F2:DA:2D:0D,88,1,13,-56
20:39:01:814,F0:F8:F2:DA:2D:0D,86,1,24,-58
20:39:02:277,F0:F8:F2:DA:2D:0D,61,1,35,-59
