Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
20:53:55:913,F0:F8:F2:DA:2D:0D,52,1,25,-62
20:53:56:301,F0:F8:F2:DA:2D:0D,71,1,36,-66
20:53:56:919,F0:F8:F2:DA:2D:0D,80,1,34,-64
20:53:57:384,F0:F8:F2:DA:2D:0D,74,1,32,-63
20:53:57:800,F0:F8:F2:DA:2D:0D,77,2,31,-72
20:53:58:202,F0:F8:F2:DA:2D:0D,61,1,17,-59
20:53:58:616,F0:F8:F2:DA:2D:0D,57,1,28,-64
20:53:58:986,F0:F8:F2:DA:2D:0D,57,2,27,-74
20:53:59:404,F0:F8:F2:DA:2D:0D,56,1,13,-59
20:53:59:814,F0:F8:F2:DA:2D:0D,56,1,24,-65
20:54:00:182,F0:F8:F2:DA:2D:0D,58,1,35,-73
20:54:00:599,F0:F8:F2:DA:2D:0D,74,1,9,-67
20:54:01:140,F0:F8:F2:DA:2D:0D,90,1,20,-64
20:54:01:423,F0:F8:F2:DA:2D:0D,72,1,31,-66
20:54:01:782,F0:F8:F2:DA:2D:0D,68,1,5,-64
20:54:02:324,F0:F8:F2:DA:2D:0D,62,1,16,-62
20:54:03:320,F0:F8:F2:DA:2D:0D,73,1,1,-60
20:54:03:381,F0:F8:F2:DA:2D:0D,49,1,12,-59
20:54:03:802,F0:F8:F2:DA:2D:0D,46,1,23,-59
20:54:04:216,F0:F8:F2:DA:2D:0D,40,1,34,-60
20:54:04:827,F0:F8:F2:DA:2D:0D,51,1,32,-59
20:54:05:409,F0:F8:F2:DA:2D:0D,47,1,30,-58
20:54:05:798,F0:F8:F2:DA:2D:0D,44,1,4,-60
20:54:06:250,F0:F8:F2:DA:2D:0D,40,1,15,-58
20:54:06:788,F0:F8:F2:DA:2D:0D,36,1,26,-59
20:54:07:101,F0:F8:F2:DA:2D:0D,32,1,0,-59
20:54:07:517,F0:F8:F2:DA:2D:0D,30,1,11,-62
20:54:07:938,F0:F8:F2:DA:2D:0D,24,1,22,-62
20:54:08:298,F0:F8:F2:DA:2D:0D,20,1,33,-61
20:54:08:714,F0:F8:F2:DA:2D:0D,15,1,7,-62
20:54:09:181,F0:F8:F2:DA:2D:0D,14,2,30,-64
20:54:09:524,F0:F8:F2:DA:2D:0D,12,1,29,-62
20:54:10:900,F0:F8:F2:DA:2D:0D,11,1,27,-63
20:54:10:620,F0:F8:F2:DA:2D:0D,8,2,13,-62
20:54:11:180,F0:F8:F2:DA:2D:0D,1,2,24,-66
20:54:11:689,F0:F8:F2:DA:2D:0D,9,2,9,-68
20:54:12:113,F0:F8:F2:DA:2D:0D,13,2,20,-66
20:54:12:508,F0:F8:F2:DA:2D:0D,17,2,31,-71
20:54:12:926,F0:F8:F2:DA:2D:0D,9,2,5,-64
20:54:13:275,F0:F8:F2:DA:2D:0D,1,2,16,-67
20:54:13:687,F0:F8:F2:DA:2D:0D,-2,2,27,-65
20:54:14:317,F0:F8:F2:DA:2D:0D,-10,2,25,-64
20:54:14:720,F0:F8:F2:DA:2D:0D,-11,2,36,-62
20:54:15:287,F0:F8:F2:DA:2D:0D,-13,2,34,-62
