Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:47:47:965,F0:F8:F2:DA:2D:0D,-5,2,7,-64
15:47:48:398,F0:F8:F2:DA:2D:0D,-1,2,30,-64
15:47:48:764,F0:F8:F2:DA:2D:0D,5,1,31,-64
15:47:49:183,F0:F8:F2:DA:2D:0D,9,2,2,-64
15:47:49:564,F0:F8:F2:DA:2D:0D,10,1,3,-64
15:47:49:968,F0:F8:F2:DA:2D:0D,9,2,11,-65
15:47:50:401,F0:F8:F2:DA:2D:0D,5,2,34,-64
15:47:50:766,F0:F8:F2:DA:2D:0D,7,1,35,-65
15:47:51:181,F0:F8:F2:DA:2D:0D,5,2,6,-64
15:47:51:597,F0:F8:F2:DA:2D:0D,6,2,29,-64
15:47:51:982,F0:F8:F2:DA:2D:0D,7,1,30,-65
15:47:52:401,F0:F8:F2:DA:2D:0D,9,2,1,-64
15:47:52:767,F0:F8:F2:DA:2D:0D,9,1,2,-64
15:47:53:183,F0:F8:F2:DA:2D:0D,6,1,25,-65
15:47:53:566,F0:F8:F2:DA:2D:0D,7,2,33,-63
15:47:53:983,F0:F8:F2:DA:2D:0D,9,2,19,-65
15:47:54:352,F0:F8:F2:DA:2D:0D,8,2,5,-64
15:47:54:765,F0:F8:F2:DA:2D:0D,7,2,28,-64
15:47:55:183,F0:F8:F2:DA:2D:0D,9,2,14,-64
15:47:55:601,F0:F8:F2:DA:2D:0D,7,2,0,-63
15:47:55:965,F0:F8:F2:DA:2D:0D,8,1,1,-64
15:47:56:384,F0:F8:F2:DA:2D:0D,7,2,9,-65
15:47:56:801,F0:F8:F2:DA:2D:0D,8,2,32,-64
15:47:57:166,F0:F8:F2:DA:2D:0D,9,2,18,-64
15:47:57:584,F0:F8:F2:DA:2D:0D,5,2,4,-64
15:47:57:954,F0:F8:F2:DA:2D:0D,6,2,27,-64
15:47:58:386,F0:F8:F2:DA:2D:0D,6,2,13,-63
15:47:58:792,F0:F8:F2:DA:2D:0D,3,2,36,-62
15:47:59:170,F0:F8:F2:DA:2D:0D,0,2,22,-64
15:47:59:585,F0:F8:F2:DA:2D:0D,-3,2,8,-62
15:48:00:300,F0:F8:F2:DA:2D:0D,-9,2,31,-62
15:48:00:368,F0:F8:F2:DA:2D:0D,-10,2,17,-63
15:48:00:789,F0:F8:F2:DA:2D:0D,-15,2,3,-62
15:48:01:218,F0:F8:F2:DA:2D:0D,-12,2,26,-63
15:48:01:569,F0:F8:F2:DA:2D:0D,-12,2,12,-64
15:48:02:400,F0:F8:F2:DA:2D:0D,-8,2,35,-62
15:48:02:368,F0:F8:F2:DA:2D:0D,-5,2,21,-64
15:48:02:785,F0:F8:F2:DA:2D:0D,-5,2,7,-63
15:48:03:171,F0:F8:F2:DA:2D:0D,-9,2,30,-62
15:48:03:583,F0:F8:F2:DA:2D:0D,-8,2,16,-63
15:48:04:400,F0:F8:F2:DA:2D:0D,-11,2,2,-62
15:48:04:369,F0:F8:F2:DA:2D:0D,-13,2,25,-63
15:48:04:808,F0:F8:F2:DA:2D:0D,-14,2,11,-63
15:48:05:190,F0:F8:F2:DA:2D:0D,-17,2,34,-62
15:48:05:582,F0:F8:F2:DA:2D:0D,-14,2,20,-63
15:48:05:981,F0:F8:F2:DA:2D:0D,-16,2,6,-62
15:48:06:391,F0:F8:F2:DA:2D:0D,-17,2,29,-62
15:48:06:776,F0:F8:F2:DA:2D:0D,-14,2,15,-63
15:48:07:188,F0:F8:F2:DA:2D:0D,-12,2,1,-62
15:48:07:668,F0:F8:F2:DA:2D:0D,-9,2,24,-63
15:48:08:700,F0:F8:F2:DA:2D:0D,-9,1,25,-64
15:48:08:401,F0:F8:F2:DA:2D:0D,-1,2,33,-63
15:48:08:795,F0:F8:F2:DA:2D:0D,3,2,19,-64
