Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
15:52:44:648,F0:F8:F2:DA:2D:0D,-85,2,9,-62
15:52:45:720,F0:F8:F2:DA:2D:0D,-84,2,0,-64
15:52:45:496,F0:F8:F2:DA:2D:0D,-85,2,28,-63
15:52:45:861,F0:F8:F2:DA:2D:0D,-86,2,19,-63
15:52:46:279,F0:F8:F2:DA:2D:0D,-87,2,10,-62
15:52:46:647,F0:F8:F2:DA:2D:0D,-86,2,1,-64
15:52:47:720,F0:F8:F2:DA:2D:0D,-86,2,29,-63
15:52:47:439,F0:F8:F2:DA:2D:0D,-87,2,20,-63
15:52:47:866,F0:F8:F2:DA:2D:0D,-87,2,11,-62
15:52:48:231,F0:F8:F2:DA:2D:0D,-86,2,2,-64
15:52:48:663,F0:F8:F2:DA:2D:0D,-87,2,30,-64
15:52:49:290,F0:F8:F2:DA:2D:0D,-86,2,21,-63
15:52:49:446,F0:F8:F2:DA:2D:0D,-86,2,12,-62
15:52:49:864,F0:F8:F2:DA:2D:0D,-82,2,3,-64
15:52:50:247,F0:F8:F2:DA:2D:0D,-84,2,31,-63
15:52:50:664,F0:F8:F2:DA:2D:0D,-84,2,22,-63
15:52:51:300,F0:F8:F2:DA:2D:0D,-87,2,13,-62
15:52:51:450,F0:F8:F2:DA:2D:0D,-85,2,4,-64
15:52:51:870,F0:F8:F2:DA:2D:0D,-87,2,32,-63
15:52:52:233,F0:F8:F2:DA:2D:0D,-85,2,23,-63
15:52:52:657,F0:F8:F2:DA:2D:0D,-86,2,14,-62
15:52:53:820,F0:F8:F2:DA:2D:0D,-85,2,5,-65
15:52:53:448,F0:F8:F2:DA:2D:0D,-87,2,33,-64
15:52:53:865,F0:F8:F2:DA:2D:0D,-87,2,24,-63
15:52:54:281,F0:F8:F2:DA:2D:0D,-87,2,15,-63
15:52:54:633,F0:F8:F2:DA:2D:0D,-86,2,6,-65
15:52:55:650,F0:F8:F2:DA:2D:0D,-87,2,34,-64
15:52:55:466,F0:F8:F2:DA:2D:0D,-87,2,25,-63
15:52:55:829,F0:F8:F2:DA:2D:0D,-87,2,16,-63
15:52:56:251,F0:F8:F2:DA:2D:0D,-88,2,7,-62
15:52:56:664,F0:F8:F2:DA:2D:0D,-87,2,35,-64
15:52:57:340,F0:F8:F2:DA:2D:0D,-87,2,26,-63
15:52:57:467,F0:F8:F2:DA:2D:0D,-87,2,17,-63
15:52:57:884,F0:F8:F2:DA:2D:0D,-87,2,8,-62
15:52:58:251,F0:F8:F2:DA:2D:0D,-87,2,36,-64
15:52:58:652,F0:F8:F2:DA:2D:0D,-87,2,27,-63
15:52:59:680,F0:F8:F2:DA:2D:0D,-87,2,18,-63
15:52:59:451,F0:F8:F2:DA:2D:0D,-88,2,9,-62
15:52:59:866,F0:F8:F2:DA:2D:0D,-87,2,0,-64
15:53:00:233,F0:F8:F2:DA:2D:0D,-87,2,28,-64
15:53:00:647,F0:F8:F2:DA:2D:0D,-87,2,19,-63
15:53:01:690,F0:F8:F2:DA:2D:0D,-87,2,10,-62
15:53:01:433,F0:F8:F2:DA:2D:0D,-86,2,1,-63
15:53:01:851,F0:F8:F2:DA:2D:0D,-86,2,29,-63
15:53:02:269,F0:F8:F2:DA:2D:0D,-85,2,20,-63
15:53:02:632,F0:F8:F2:DA:2D:0D,-87,2,11,-62
15:53:03:570,F0:F8:F2:DA:2D:0D,-86,2,2,-64
15:53:03:420,F0:F8:F2:DA:2D:0D,-87,2,30,-64
15:53:03:854,F0:F8:F2:DA:2D:0D,-85,2,21,-62
15:53:04:273,F0:F8:F2:DA:2D:0D,-85,2,12,-62
15:53:04:639,F0:F8:F2:DA:2D:0D,-81,2,3,-63
15:53:05:710,F0:F8:F2:DA:2D:0D,-83,2,31,-62
15:53:05:510,F0:F8:F2:DA:2D:0D,-81,2,22,-62
