Date Time,Identifier,Message
09:07:09:927,F0:F8:F2:DA:2D:0D,Identify Responde
09:07:09:993,F0:F8:F2:DA:06:D9,Identify Responde
09:07:10:100,F0:F8:F2:DA:2D:0D,Identify Responde
09:07:10:600,F0:F8:F2:DA:06:D9,Identify Responde
09:07:18:181,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:20:152,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:20:305,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:22:270,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:22:425,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:24:399,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:24:554,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:26:523,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:26:677,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:28:652,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:39:772,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:39:828,F0:F8:F2:DA:06:D9,Slave 54:6C:0E:83:6F:35 found with rssi -61
09:07:41:750,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:41:902,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:42:106,F0:F8:F2:DA:06:D9,Slave 54:6C:0E:83:6F:35 found with rssi -61
09:07:43:877,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:43:984,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:43:994,F0:F8:F2:DA:06:D9,Slave 54:6C:0E:83:6F:35 found with rssi -61
09:07:45:956,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:46:109,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:46:212,F0:F8:F2:DA:06:D9,Slave 54:6C:0E:83:6F:35 found with rssi -63
09:07:48:850,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:48:237,F0:F8:F2:DA:06:D9,Scan started successfully
09:07:48:289,F0:F8:F2:DA:06:D9,Slave 54:6C:0E:83:6F:35 found with rssi -60
09:07:50:210,F0:F8:F2:DA:06:D9,Scan stopped successfully
09:07:54:147,F0:F8:F2:DA:06:D9,Connection started successfully
09:07:54:250,F0:F8:F2:DA:06:D9,Receive connection parameters
09:07:54:321,F0:F8:F2:DA:2D:0D,Connection parameters set successfully
09:07:54:923,F0:F8:F2:DA:2D:0D,Connection success
09:07:55:361,F0:F8:F2:DA:06:D9,Connection success
09:07:57:742,F0:F8:F2:DA:06:D9,Set AoA parameters successfully
09:07:57:759,F0:F8:F2:DA:2D:0D,Set AoA parameters successfully
09:07:57:845,F0:F8:F2:DA:06:D9,AoA started/stopped successfully
09:07:57:868,F0:F8:F2:DA:2D:0D,AoA started/stopped successfully
09:07:58:265,F0:F8:F2:DA:2D:0D,"AoA: Angle=82, Ant=2, Channel=23, RSSI=-67"
09:07:58:740,F0:F8:F2:DA:2D:0D,"AoA: Angle=3, Ant=1, Channel=24, RSSI=-69"
09:07:59:151,F0:F8:F2:DA:2D:0D,"AoA: Angle=11, Ant=1, Channel=10, RSSI=-68"
09:07:59:570,F0:F8:F2:DA:2D:0D,"AoA: Angle=-5, Ant=2, Channel=18, RSSI=-68"
09:08:00:173,F0:F8:F2:DA:2D:0D,"AoA: Angle=5, Ant=1, Channel=12, RSSI=-68"
09:08:00:566,F0:F8:F2:DA:2D:0D,"AoA: Angle=-6, Ant=2, Channel=20, RSSI=-67"
